Date,log_returns
2010-01-05,0.0086963957751834
2010-01-06,0.0007386389062683265
2010-01-07,-0.0035466864183382987
2010-01-08,-0.003492649046092997
2010-01-11,0.0008861894848711219
2010-01-12,-0.0074571562473284584
2010-01-13,0.004509678948100578
2010-01-14,0.004945708140283072
2010-01-15,-0.0014649229624307774
2010-01-18,0.004303187818976659
2010-01-19,-0.00937108811281388
2010-01-20,-0.0007561165620956245
2010-01-21,-0.024730253416518803
2010-01-22,-0.011480687178891941
2010-01-25,-0.005595470135225262
2010-01-27,-0.03139894990280727
2010-01-28,0.002911399732814308
2010-01-29,0.003036077739411096
2010-02-01,0.0036088449983292152
2010-02-02,-0.01430682701245135
2010-02-03,0.020846999413257735
2010-02-04,-0.017694688705123994
2010-02-05,-0.026496781268445523
2010-02-08,0.008808956769992533
2010-02-09,0.006751796164294356
2010-02-10,-0.007424173049006029
2010-02-11,0.014534800298261869
2010-02-15,-0.005171975135166793
2010-02-16,0.011141443639869172
2010-02-17,0.011924704368882228
2010-02-18,-0.005356199200524958
2010-02-19,-0.008805489760123469
2010-02-22,0.002370817440569972
2010-02-23,0.0028067612985113975
2010-02-24,-0.002353813207905825
2010-02-25,0.00023664559057058937
2010-02-26,0.012788865005232845
2010-03-02,0.01905628423679781
2010-03-03,0.014072353623684244
2010-03-04,-0.0015440261478846663
2010-03-05,0.0016619605947973564
2010-03-08,0.006912950461775033
2010-03-09,-0.004400769901265003
2010-03-10,0.002887134691252988
2010-03-11,0.0033464398319566976
2010-03-12,0.0007010628286984394
2010-03-15,-0.0015780592864252823
2010-03-16,0.013402000790980504
2010-03-17,0.006481289167163449
2010-03-18,0.0026723183478340206
2010-03-19,0.0032163668929633504
2010-03-22,-0.011005003954608747
2010-03-23,0.003854011649290952
2010-03-25,0.006694875828928294
2010-03-26,0.004097762953683076
2010-03-29,0.003939616419884685
2010-03-30,-0.007647695404744314
2010-03-31,-0.0025400829491546485
2010-04-01,0.00785610742115299
2010-04-05,0.014617134988492871
2010-04-06,-0.0004471423471397832
2010-04-07,0.0016106854412794307
2010-04-08,-0.013147309710539474
2010-04-09,0.010744286598761555
2010-04-12,-0.004120906136825128
2010-04-13,-0.0031418105563994977
2010-04-15,-0.009314437828800527
2010-04-16,-0.0020880400510003044
2010-04-19,-0.011264936095264202
2010-04-20,0.005070133360250802
2010-04-21,0.0028257402454029998
2010-04-22,0.004650876550451328
2010-04-23,0.006573090991872485
2010-04-26,0.0034536355429986695
2010-04-27,-0.002652689456282345
2010-04-28,-0.017655659171124917
2010-04-29,0.007392810217539679
2010-04-30,0.004529016135379945
2010-05-03,-0.010523154984110675
2010-05-04,-0.014318672982353193
2010-05-05,-0.004594416530933983
2010-05-06,-0.006666163674476285
2010-05-07,-0.014403456807526558
2010-05-10,0.03438574403959364
2010-05-11,-0.011123364586176314
2010-05-12,0.003983372356512285
2010-05-13,0.004305534740252186
2010-05-14,-0.016627442603929482
2010-05-17,-0.0066185160897830105
2010-05-18,0.0012443672728817412
2010-05-19,-0.02935369831893425
2010-05-20,0.005665260344674226
2010-05-21,-0.0033304234883113635
2010-05-24,0.002592439572484712
2010-05-25,-0.02814346627068717
2010-05-26,0.022758735608322447
2010-05-27,0.01727782415402294
2010-05-28,0.012602334221159585
2010-05-31,0.0038905382570750065
2010-06-01,-0.023090492266616938
2010-06-02,0.009939952188865392
2010-06-03,0.01789717455385668
2010-06-04,0.004879962836728166
2010-06-07,-0.019962312910597833
2010-06-08,-0.009360298632856782
2010-06-09,0.0026432734937479525
2010-06-10,0.015537780712110243
2010-06-11,0.007991844656968942
2010-06-14,0.01518876068179503
2010-06-15,0.004731253234392907
2010-06-16,0.0021041161955454323
2010-06-17,0.007898634397593373
2010-06-18,-0.002325041692512812
2010-06-21,0.017087936936644132
2010-06-22,-0.006888596684940277
2010-06-23,0.001240655034366222
2010-06-24,-0.00047911774257688094
2010-06-25,-0.009736053722463615
2010-06-28,0.01215763950246269
2010-06-29,-0.014608882074956035
2010-06-30,0.01066373324209074
2010-07-01,-0.011567845125803692
2010-07-02,-0.002726760461016281
2010-07-05,-0.00022919799823436973
2010-07-06,0.010099878028875301
2010-07-07,-0.009107190095395111
2010-07-08,0.010580904083332588
2010-07-09,0.010442113816835361
2010-07-12,0.005691403079691351
2010-07-13,0.0032734590355328547
2010-07-14,-0.0026884727623095483
2010-07-15,-0.0013748206813710688
2010-07-16,0.002812662152533556
2010-07-19,-0.0013820902196343338
2010-07-20,-0.0034311774341907633
2010-07-21,0.005823194372050832
2010-07-22,0.007858894368978778
2010-07-23,0.0013129869348835793
2010-07-26,-0.005612977820209495
2010-07-27,0.0022121455365479116
2010-07-28,-0.006104532335174015
2010-07-29,0.002100616231522225
2010-07-30,-0.00766482751966219
2010-08-02,0.011862037773378627
2010-08-03,0.0014533637403788082
2010-08-04,0.005189203059859094
2010-08-05,-0.003802129121223046
2010-08-06,-0.0014421911745366375
2010-08-09,0.008585532950855656
2010-08-10,-0.004649694232652821
2010-08-11,-0.007370493986963361
2010-08-12,-0.0007658730806648022
2010-08-13,0.006560218103885612
2010-08-16,-0.006218796401868112
2010-08-17,-0.000766198350143573
2010-08-18,0.011934082898280511
2010-08-19,0.0110806748273832
2010-08-20,-0.0017253047875308014
2010-08-23,0.0023207385735129846
2010-08-24,-0.006951117177111686
2010-08-25,-0.007795835084648713
2010-08-26,0.002842680040908752
2010-08-27,-0.012712993664487983
2010-08-30,0.0012472112140708633
2010-08-31,-0.00241273435696224
2010-09-01,0.012773504308811986
2010-09-02,0.002609931156180491
2010-09-03,-0.0012311285750001095
2010-09-06,0.017646478902998107
2010-09-07,0.004838561479732106
2010-09-08,0.0006867908104461945
2010-09-09,0.005725476804122235
2010-09-13,0.021044578618470873
2010-09-14,0.006152873284535868
2010-09-15,0.011221391822531002
2010-09-16,-0.005517715371069107
2010-09-17,0.009604253244100887
2010-09-20,0.016097570938055195
2010-09-21,0.004770785040215841
2010-09-22,-0.0030082905643817803
2010-09-23,-0.005263401003784735
2010-09-24,0.009809852862910048
2010-09-27,0.00287874266275489
2010-09-28,-0.0010194490621581462
2010-09-29,-0.006355704200122867
2010-09-30,0.0064303668597660915
2010-10-01,0.018639567709410974
2010-10-04,0.002609200623776862
2010-10-05,-0.002218629645768462
2010-10-06,0.006592558187392446
2010-10-07,-0.01075036507755265
2010-10-08,-0.0027568659448782853
2010-10-11,0.0052944167152087305
2010-10-12,-0.007352795767714826
2010-10-13,0.023206286464976675
2010-10-14,-0.009112731758761925
2010-10-15,-0.018742410609534424
2010-10-18,0.0021914056290457356
2010-10-19,-0.008039270881310663
2010-10-20,-0.007527423655550523
2010-10-21,0.019762949379863604
2010-10-22,-0.005827022890950839
2010-10-25,0.006531487421865502
2010-10-26,-0.003905517865498991
2010-10-27,-0.011468022351340748
2010-10-28,-0.004158169182956317
2010-10-29,0.004997761252085383
2010-11-01,0.01645649867513474
2010-11-02,0.00023702683230754845
2010-11-03,0.0067592586021823315
2010-11-04,0.019498589440667992
2010-11-08,-0.0013699101106928303
2010-11-09,0.004508981475751922
2010-11-10,-0.004110540185239915
2010-11-11,-0.013063621326274108
2010-11-12,-0.01999106166251395
2010-11-15,0.0081931355022444
2010-11-16,-0.021949123410368025
2010-11-18,0.0016850238606307781
2010-11-19,-0.018252519672628757
2010-11-22,0.020117851552952617
2010-11-23,-0.01259984437184087
2010-11-24,-0.01169455300758192
2010-11-25,-0.011315537992575984
2010-11-26,-0.00827585146692871
2010-11-29,0.013478038654212304
2010-11-30,0.005593281281109418
2010-12-01,0.016611178361988586
2010-12-02,0.00848614292930173
2010-12-03,-0.0031488868744578725
2010-12-06,-9.17484193800369e-05
2010-12-07,-0.0026235219193067112
2010-12-08,-0.012264139639573417
2010-12-09,-0.023513995398226302
2010-12-10,0.01563198886586812
2010-12-13,0.008550805127915114
2010-12-14,0.0061510427131599675
2010-12-15,-0.00875276673674562
2010-12-16,0.009534732799129053
2010-12-20,-0.00028584800551315775
2010-12-21,0.00897251497180786
2010-12-22,-0.002711713380007471
2010-12-23,-0.0007354990769299838
2010-12-24,0.005270384359897009
2010-12-27,-0.0022481836293281954
2010-12-28,-0.000350188452758028
2010-12-29,0.010674990062610617
2010-12-30,0.006824449589510328
2010-12-31,0.005336555356628161
2011-01-03,0.003758531848336433
2011-01-04,-0.0018286815139022822
2011-01-05,-0.010886657008168427
2011-01-06,-0.0052027945736062816
2011-01-07,-0.024037249311890194
2011-01-10,-0.0242995637386114
2011-01-11,-0.0015194997868653757
2011-01-12,0.01879139619515671
2011-01-13,-0.019173839327316797
2011-01-14,-0.017069721768040398
2011-01-17,3.5403661761228884e-05
2011-01-18,0.012180662758961016
2011-01-19,-0.0057818316196177775
2011-01-20,0.0036044806065857974
2011-01-21,-0.0026472605158493817
2011-01-24,0.008173301034109938
2011-01-25,-0.009772067655861168
2011-01-27,-0.014719059152266116
2011-01-28,-0.016579396404794635
2011-01-31,-0.0011345021634778043
2011-02-01,-0.016241113960522698
2011-02-02,0.0027282774031740335
2011-02-03,0.017292549076686366
2011-02-04,-0.023988332676138546
2011-02-07,4.633168856676948e-05
2011-02-08,-0.015586029138919214
2011-02-09,-0.011167907817883387
2011-02-10,-0.0052961425847933225
2011-02-11,0.01598397644993397
2011-02-14,0.027124085287313617
2011-02-15,0.00457164552281843
2011-02-16,0.00012774139600228233
2011-02-17,0.011742811215976985
2011-02-18,-0.01590161932654793
2011-02-21,0.01086772327922514
2011-02-22,-0.008991833464499622
2011-02-23,-0.0058405613764712025
2011-02-24,-0.03264758763813046
2011-02-25,0.0077321306790641905
2011-02-28,0.00558443762100127
2011-03-01,0.03483359635665696
2011-03-03,0.0025139753033331146
2011-03-04,0.0004604634219720642
2011-03-07,-0.013743314929411162
2011-03-08,0.010497213344531289
2011-03-09,0.0018458890658586942
2011-03-10,-0.006639257065300575
2011-03-11,-0.008948940481997226
2011-03-14,0.01567859302758532
2011-03-15,-0.014907657983095256
2011-03-16,0.01122192659188634
2011-03-17,-0.011772572247673354
2011-03-18,-0.013484002212295716
2011-03-21,-0.0016669439671844774
2011-03-22,0.009110726224509216
2011-03-23,0.012190217458324736
2011-03-24,0.007661810366167588
2011-03-25,0.023594944054316423
2011-03-28,0.005819352489233676
2011-03-29,0.008596309323982254
2011-03-30,0.008903183538841914
2011-03-31,0.007933698152046535
2011-04-01,-0.0013208110878279227
2011-04-04,0.014044355538836166
2011-04-05,0.00027069583868808463
2011-04-06,-0.0031011912855171014
2011-04-07,-0.001027353989069185
2011-04-08,-0.007452509331449193
2011-04-11,-0.009683814289420984
2011-04-13,0.021510216644902755
2011-04-15,-0.014817896604968487
2011-04-18,-0.01652324234306882
2011-04-19,0.0020313964438487763
2011-04-20,0.01913379225131961
2011-04-21,0.005632139474262156
2011-04-25,-0.0017348455169341906
2011-04-26,-0.00103894238317352
2011-04-27,-0.005896293981322488
2011-04-28,-0.008339534900220089
2011-04-29,-0.006233284254191724
2011-05-02,-0.008418709752226371
2011-05-03,-0.024152277406054596
2011-05-04,-0.005061997028756225
2011-05-05,-0.014058575581329499
2011-05-06,0.016637855340857616
2011-05-09,-6.306616896621993e-05
2011-05-10,-0.0017760168329809282
2011-05-11,0.004285827239714357
2011-05-12,-0.01427921764981002
2011-05-13,0.010624817456151603
2011-05-16,-0.008285276597504446
2011-05-17,-0.010980194083480721
2011-05-18,-0.0033795349947825953
2011-05-19,0.0013826543382725416
2011-05-20,0.010674024255009313
2011-05-23,-0.01835813752553947
2011-05-24,0.0015397433883911405
2011-05-25,-0.008544496425544794
2011-05-26,0.011783080883934626
2011-05-27,0.01170978923544845
2011-05-30,-0.0005479852448685878
2011-06-01,0.021491803578991553
2011-06-02,-0.007475998503883324
2011-06-03,-0.0060720876465728746
2011-06-06,0.0027694979974720634
2011-06-07,0.004346988013065479
2011-06-08,-0.005287354136339274
2011-06-09,-0.0010500264399477862
2011-06-10,-0.006405124402290038
2011-06-13,-0.0005470160606905956
2011-06-14,0.0032231134450305594
2011-06-15,-0.00968220936071541
2011-06-16,-0.009359867303788395
2011-06-17,-0.005639646083818007
2011-06-20,-0.020425585533706467
2011-06-21,0.0034081334163708894
2011-06-22,0.0004642168432151349
2011-06-23,0.007869264178642029
2011-06-24,0.028033806169414976
2011-06-27,0.010065706387361805
2011-06-28,0.00337787100253908
2011-06-29,0.009896299617058683
2011-06-30,0.008348258431096389
2011-07-01,-0.0035832275147961966
2011-07-04,0.0041320193718407065
2011-07-05,-0.0032616450989141907
2011-07-06,-0.0011814121090557134
2011-07-07,0.018231322343836034
2011-07-08,-0.011993592594938669
2011-07-11,-0.007901219137585697
2011-07-12,-0.01614613735199751
2011-07-13,0.010673684337305226
2011-07-15,-0.0007791301274212043
2011-07-18,-0.002520651503807869
2011-07-19,0.008318027607452367
2011-07-20,-0.008318027607452325
2011-07-21,-0.004581970226838186
2011-07-22,0.01652754404382657
2011-07-25,0.00819318446303973
2011-07-26,-0.018738585183611912
2011-07-27,-0.005044278986077197
2011-07-28,-0.01070281423571575
2011-07-29,-0.0010483375695179318
2011-08-01,0.006327948763364648
2011-08-02,-0.010981260525951745
2011-08-03,-0.009529274623523588
2011-08-04,-0.013598555890485751
2011-08-05,-0.022869105391128044
2011-08-08,-0.0179583228351812
2011-08-09,-0.008958618282299595
2011-08-10,0.017227550071201244
2011-08-11,-0.004408111716545394
2011-08-12,-0.012799706514216911
2011-08-16,-0.007350178385929561
2011-08-17,0.0041219774525322675
2011-08-18,-0.022489300253336914
2011-08-19,-0.02012366463152472
2011-08-22,0.010908862177967734
2011-08-23,0.010175072634902792
2011-08-24,-0.012198000598804451
2011-08-25,-0.010135216467870713
2011-08-26,-0.01915078114017379
2011-08-29,0.035545934512972804
2011-08-30,0.016410646200203265
2011-09-02,0.007768189646510544
2011-09-05,-0.00453403398630976
2011-09-06,0.009343838129813015
2011-09-07,0.011846324726533429
