,hurst_100
2010-06-02,0.4394529728819562
2010-06-03,0.4410852965811355
2010-06-04,0.4234414170417486
2010-06-07,0.41384979079122564
2010-06-08,0.44919268792675004
2010-06-09,0.4321192308288808
2010-06-10,0.430966524061782
2010-06-11,0.4696632145576396
2010-06-14,0.4776161415415446
2010-06-15,0.4570897945151826
2010-06-16,0.41866219747403666
2010-06-17,0.4253287761180486
2010-06-18,0.4138212597902522
2010-06-21,0.4244714719091701
2010-06-22,0.43404444751809373
2010-06-23,0.41179743535334196
2010-06-24,0.4830534411579165
2010-06-25,0.5295371196545745
2010-06-28,0.5601526447416245
2010-06-29,0.5650485733344045
2010-06-30,0.5457994730742064
2010-07-01,0.5323313618273626
2010-07-02,0.5161955932180043
2010-07-05,0.5128275987693728
2010-07-06,0.476522911095221
2010-07-07,0.4674594607354917
2010-07-08,0.4786266557454274
2010-07-09,0.47590847049283586
2010-07-12,0.4885216953756292
2010-07-13,0.48126873289640315
2010-07-14,0.45232360245949166
2010-07-15,0.4343763269490236
2010-07-16,0.3851617909532313
2010-07-19,0.39155882498834926
2010-07-20,0.3801325814537237
2010-07-21,0.3669841701295803
2010-07-22,0.3790763031456983
2010-07-23,0.43412469174166507
2010-07-26,0.5020801786493615
2010-07-27,0.5618339952209468
2010-07-28,0.5160534902559039
2010-07-29,0.5086858447998801
2010-07-30,0.5072345158835193
2010-08-02,0.48838669677132074
2010-08-03,0.45463204171116606
2010-08-04,0.46661418456116166
2010-08-05,0.4869860696340926
2010-08-06,0.5100751949205788
2010-08-09,0.5685201025027691
2010-08-10,0.5734158060350839
2010-08-11,0.5575449948928932
2010-08-12,0.5435119982248506
2010-08-13,0.5059959808573781
2010-08-16,0.48935669276183236
2010-08-17,0.48864701481026457
2010-08-18,0.48521784621986347
2010-08-19,0.5206991569123298
2010-08-20,0.5534160189331722
2010-08-23,0.5930244336586181
2010-08-24,0.622104966448431
2010-08-25,0.6182246352919413
2010-08-26,0.5786735151436747
